CÓDIGO;DISCIPLINA;TEORIA;PRÁTICA;INDIVIDUAL
NHT1048-15;Sistemática e Biogeografia;2;2;4
ESHR018-13;Sociedade Civil Organizada Global;4;0;4
ESHT023-13;Sociologia dos Territórios;4;0;4
ESZE006-13;Subestação e Equipamentos;2;0;4
ESZE005-13;Supervisão e Confiabilidade de Sistemas Energéticos;3;1;4
ESZA015-13;Supervisão e Monitoramento de Processos Energéticos;1;3;4
ESHR019-13;Surgimento da China como potência mundial;4;0;4
ESZT014-13;Sustentabilidade e Indicadores;4;0;4
ESHR901-13;TCC de Relações Internacionais I;0;2;6
ESHR902-13;TCC de Relações Internacionais II;0;2;6
NHZ1081-13;Técnicas Aplicadas a Processos Biotecnológicos;4;2;4
MCZA050-15;Técnicas Avançada de Programação;4;0;4
ESTS010-13;Técnicas de Análise Estrutural e Projeto;3;1;4
ESZG004-13;Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Dependência;2;2;4
ESZG005-13;Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Interdependência;2;2;4
ESHC901-13;Técnicas em Pesquisa;2;3;0
ESZS022-13;Técnicas Experimentais em Propulsão;3;2;6
ESZB009-13;Técnicas Modernas em Fotodiagnóstico;3;1;4
ESZB008-13;Técnicas Modernas em Fototerapia;3;1;4
ESZE017-13;Tecnologia da Combustão;1;2;4
ESTG018-13;Tecnologia da Informação;2;0;3
NHZ4065-15;Tecnologia de Alimentos;2;2;2
NHZ4070-15;Tecnologia de Biomateriais;3;1;4
ESZM013-13;Tecnologia de Elastômeros;4;0;4
ESZI018-13;Tecnologia de Redes Ópticas;4;0;4
NHZ3052-15;Tecnologia do Vácuo e Criogenia;2;2;4
NHZ5019-15;Tecnologias da Informação e Comunicação na Educação;3;0;3
ESZP031-13;Tecnologias Sociais;4;0;4
ESTI014-13;Telefonia Fixa Moderna;3;1;4
ESZB016-13;Telemedicina e Sistemas de Apoio a Decisão;2;2;5
ESHP020-13;Temas Contemporâneos;2;2;4
ESZG027-13;Temas Contemporâneos de Custos em Sistemas de Gestão;4;0;5
NHZ2066-11;Temas da Filosofia Antiga;4;0;4
NHZ2067-11;Temas da Filosofia Contemporânea;4;0;4
NHZ2068-11;Temas da Filosofia Medieval;4;0;4
NHZ2069-11;Temas da Filosofia Moderna;4;0;4
NHZ2070-11;Temas de Lógica;4;0;4
BHP0201-15;Temas e Problemas em Filosofia;4;0;4
ESTG019-13;Tempos, Métodos e Arranjos Físicos;2;2;5
MCTD015-13;Tendências em Educação Matemática;4;0;4
MCTB023-13;Teoria Aritmética dos Números;4;0;4
MCZB029-13;Teoria Aritmética dos Números II;4;0;4
MCZB030-13;Teoria Axiomática dos Conjuntos;4;0;4
NHZ3053-15;Teoria Clássica dos Campos;4;0;4
NHZ2071-11;Teoria Crítica e Escola de Frankfurt;4;0;4
NHT2081-09;Teoria da Ciência;4;0;4
ESZS011-13;Teoria da Elasticidade;4;0;5
ESTI008-13;Teoria da Informação e Códigos;4;0;4
MCTB020-13;Teoria da Medida e Integração;4;0;4
MCZB033-13;Teoria da Recursão e Computabilidade;4;0;4
NHT3054-15;Teoria da Relatividade;4;0;4
ESZG008-13;Teoria das Decisões;2;0;3
MCZB032-13;Teoria das Filas;4;0;4
ESZA006-13;Teoria de Controle Ótimo;3;0;4
ESZI006-13;Teoria de Filas e Análise de Desempenho;3;1;4
NHZ3056-15;Teoria de Grupos em Física;4;0;4
NHZ4067-15;Teoria de Grupos: Moléculas e Sólidos;2;0;2
NHZ5015-09;Teoria do Conhecimento Científico;4;0;4
NHH2072-13;Teoria do conhecimento: a epistemologia contemporânea;4;0;4
NHH2073-13;Teoria do Conhecimento: Empirismo versus Racionalismo;4;0;4
ESTU019-13;Teoria do Planejamento Urbano e Ambiental;3;0;4
MCTA027-15;Teoria dos Grafos;3;1;4
MCZB031-13;Teoria dos Jogos;4;0;4
ESHP029-14;Teoria e Gestão de Organizações Públicas;4;0;4
NHT3055-13;Teoria Eletromagnética;4;2;6
MCZA048-14;Teoria Espectral de Grafos;4;0;4
ESTO010-13;Termodinâmica Aplicada;3;1;5
ESTE010-13;Termodinâmica Aplicada II;3;1;5
ESTM009-13;Termodinâmica Estatística de Materiais;4;0;4
NHT4057-15;Termodinâmica Química;4;0;6
ESZE042-13;Termo-Hidráulica de Reatores Nucleares I;4;0;6
ESZE043-13;Termo-Hidráulica de Reatores Nucleares II;3;0;5
ESZT015-13;Território e Logística;4;0;4
BHQ0301-15;Território e Sociedade;4;0;4
MCZC011-15;Tomada de Decisões e Neuroeconomia;4;0;4
ESZC018-13;Tópicos Avançados em Macroeconomia;4;0;3
NHZ2074-11;Tópicos Avançados em Modalidades: Lógica Deôntica e Lógica Epistêmica;2;0;2
NHT4055-15;Tópicos Avançados em Química Orgânica;2;0;2
ESTM003-13;Tópicos Computacionais em Materiais;2;2;5
NHZ2075-11;Tópicos de História da Ciência;4;0;4
NHZ2076-11;Tópicos de Lógicas Não-Clássicas;4;0;4
NHZ2078-08;Tópicos de Metodologia da Ciência;3;0;4
ESZE016-13;Tópicos de Otimização em Sistemas Elétricos de Potência e Aplicações;1;1;4
NHZ3058-15;Tópicos em Física Experimental;1;3;4
NHZ3057-15;Tópicos em Física Teórica;4;0;4
NHZ2077-11;Tópicos em Teoria do Conhecimento;4;0;4
MCZA049-14;Tópicos Emergentes em Banco de Dados;4;0;4
ESZU018-13;Tópicos Especiais em Engenharia Ambiental e Urbana;3;1;4
ESZG022-13;Tópicos Especiais em Engenharia Organizacional;2;0;2
ESTM002-13;Tópicos Experimentais em Materiais I;0;4;4
ESZM012-13;Tópicos Experimentais em Materiais II;0;4;4
MCTB026-13;Topologia;4;0;4
NHZ1050-15;Toxicologia;4;2;4
ESHP902-14;Trabalho de Conclusão de Curso de Políticas Públicas I;0;3;6
ESHP903-14;Trabalho de Conclusão de Curso de Políticas Públicas II;0;3;6
NHT3089-15;Trabalho de Conclusão de Curso em Física;2;0;10
MCTB024-13;Trabalho de Conclusão de Curso em Matemática I;0;2;4
MCTB025-13;Trabalho de Conclusão de Curso em Matemática II;0;2;4
MCTB027-13;Trabalho de Conclusão de Curso em Matemática III;0;2;4
NHT4046-15;Trabalho de Conclusão de Curso em Química;2;0;2
ESTS902-13;Trabalho de Graduação I em Engenharia Aeroespacial;0;2;4
ESTU902-13;Trabalho de Graduação I em Engenharia Ambiental e Urbana;0;2;4
ESTB902-13;Trabalho de Graduação I em Engenharia Biomédica;0;2;4
ESTE902-13;Trabalho de Graduação I em Engenharia de Energia;0;2;4
ESTG902-13;Trabalho de Graduação I em Engenharia de Gestão;0;2;4
ESTI902-13;Trabalho de Graduação I em Engenharia de Informação;0;2;4
ESTA902-13;Trabalho de Graduação I em Engenharia de Instrumentação, Automação e Robótica;0;2;4
ESTM902-13;Trabalho de Graduação I em Engenharia de Materiais;0;2;4
ESTS903-13;Trabalho de Graduação II em Engenharia Aeroespacial;0;2;4
ESTU903-13;Trabalho de Graduação II em Engenharia Ambiental e Urbana;0;2;4
ESTB903-13;Trabalho de Graduação II em Engenharia Biomédica;0;2;4
ESTE903-13;Trabalho de Graduação II em Engenharia de Energia;0;2;4
ESTG903-13;Trabalho de Graduação II em Engenharia de Gestão;0;2;4
ESTI903-13;Trabalho de Graduação II em Engenharia de Informação;0;2;4
ESTA903-13;Trabalho de Graduação II em Engenharia de Instrumentação, Automação e Robótica;0;2;4
ESTM903-13;Trabalho de Graduação II em Engenharia de Materiais;0;2;4
ESTS904-13;Trabalho de Graduação III em Engenharia Aeroespacial;0;2;4
ESTU904-13;Trabalho de Graduação III em Engenharia Ambiental e Urbana;0;2;4
ESTB904-13;Trabalho de Graduação III em Engenharia Biomédica;0;2;4
ESTE904-13;Trabalho de Graduação III em Engenharia de Energia;0;2;4
ESTG904-13;Trabalho de Graduação III em Engenharia de Gestão;0;2;4
ESTI904-13;Trabalho de Graduação III em Engenharia de Informação;0;2;4
ESTA904-13;Trabalho de Graduação III em Engenharia de Instrumentação, Automação e Robótica;0;2;4
ESTM904-13;Trabalho de Graduação III em Engenharia de Materiais;0;2;4
NHZ1082-15;Trabalhos de Campo, Coleta e Preservação de Organismos;0;4;2
ESZR013-13;Trajetória da OPEP e da Agência Internacional de Energia (IEA);4;0;4
ESZR014-13;Trajetória de desenvolvimento de países exportadores de petróleo;4;0;4
ESZR015-13;Trajetória dos investimentos produtivos no Brasil e do Brasil;4;0;4
ESHP021-13;Trajetórias das Políticas de CT&I no Brasil;4;0;4
ESHR027-14;Trajetórias Internacionais do Continente Africano;4;0;4
ESZE030-13;Tranferência de Calor e Mecânica dos Fluidos Computacional II;2;2;4
ESTS018-13;Transferência de Calor Aplicada a Sistemas Aeroespaciais;3;1;4
ESZE029-13;Transferência de Calor e Mecânica dos Fluidos Computacional I;2;2;4
ESTE012-13;Transferência de Calor I;3;1;4
ESTE013-13;Transferência de Calor II;3;1;4
ESZE020-13;Transferência de Calor Industrial;2;2;4
ESTU020-13;Transferência de Massa;3;1;5
ESZG016-13;Transferência de Tecnologia;3;1;4
BCL0307-15;Transformações Químicas;3;2;6
ESTI003-13;Transformadas em Sinais e Sistemas Lineares;4;0;4
ESZE065-13;Transporte de Petróleo e Gás Natural;4;0;4
ESZU019-13;Transportes e Meio Ambiente;0;2;4
ESTU021-13;Transportes e Mobilidade Urbana;2;0;4
ESZU020-13;Transportes, Uso e Ocupação do Solo;1;1;4
ESZE028-13;Tubulações Industriais;2;0;4
ESZI004-13;TV Digital;3;1;4
ESZU021-13;Unidades de Conservação da Natureza;3;1;2
ESZT016-13;Urbanização Brasileira;4;0;4
ESHT024-13;Uso do Solo Urbano;4;0;4
ESZE056-13;Uso Final de Energia e Eficiência Energética;3;1;5
NHT3066-15;Variáveis Complexas e Aplicações;4;0;4
ESZE026-13;Ventilação Industrial e Ar Comprimido;2;0;4
ESTS008-13;Vibrações;4;0;4
MCZA030-13;Vida Artificial na Computação;2;0;4
ESZP037-14;Violência e Segurança Pública;4;0;4
NHZ1051-13;Virologia;4;0;4
ESZA019-13;Visão Computacional;3;1;4
MCZA031-13;WebSemântica;4;0;4
NHT1063-15;Zoologia de Invertebrados I;2;4;3
NHT1064-15;Zoologia de Invertebrados II;2;4;3
NHT1065-15;Zoologia de Vertebrados;4;2;3
NHT1089-15;Zoologia Geral dos Invertebrados;4;2;3
